Allocation Id,Data name,Sender,Receiver,instance_dimension,Signal Id,Message ID,Label,start bit,stop bit,encoding,unit,scale,resolution,minimum,maximum,Refresh rate,validity,notes,On aircraft ?,On FND ?,On Sim ?
DBUS-024,Turbine run command,HICU,EPECS,,SIG-098,TBD,TBD,TBD,TBD,Discrete,,,,,,20,"Frame CRC, plus receiver freshness timeout","HICU to EPECS run enable, relayed from FCC.",TBD,TBD,TBD
DBUS-025,Active rating reference,HICU,EPECS,,SIG-119,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-026,Propulsion operating mode,HICU,EPECS,,SIG-120,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-027,Synchrophasing command,HICU,EPECS,,SIG-121,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-028,Gas generator speed,EPECS,HICU,,SIG-023,TBD,TBD,TBD,TBD,BNR,rpm,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-029,Propeller speed,EPECS,HICU,,SIG-017,TBD,TBD,TBD,TBD,BNR,rpm,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-030,Main engine oil pressure,EPECS,HICU,,SIG-024,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-031,Main engine oil temperature,EPECS,HICU,,SIG-028,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-032,Fuel temperature,EPECS,HICU,,SIG-018,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-033,Propeller Blade Angle Control Path,EPECS,HICU,,SIG-015,TBD,TBD,TBD,TBD,BNR,deg,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-033-B,Propeller Blade Angle Protection Path,EPECS,HICU,,SIG-016,TBD,TBD,TBD,TBD,BNR,deg,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-034,Fuel inlet pressure,EPECS,HICU,,SIG-019,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-035,Fuel flow,EPECS,HICU,,SIG-020,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-036,Fuel filter differential pressure,EPECS,HICU,,SIG-021,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-037,Compressor output pressure,EPECS,HICU,,SIG-025,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
